STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,SCALE,Scale,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_COMM,Have a voice in community decisions,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,50.97,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_PVGA,National parliament holding the national government accontable,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.46,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_G_DEB,Government takes decisions based on evidence,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.52,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_R_CD,Government would refuse a corporation's demand that is not in the public interest,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.25,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_CONS,Adoption of opinions expressed in public consultations,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,41.97,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_NT_R,Governments can regulate new technologies appropiately,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,56.03,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_PLEM,Government preparedness to protect lives in large-scale emergency,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.62,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_POL,National policy would be changed if majority expressed view against it,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,44.73,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,TRUST_GHG_R,Country will reduce greenhoushe gas (GhG) emissions in the next ten years,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_COMM,Have a voice in community decisions,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,41.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_POL,National policy would be changed if majority expressed view against it,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,39.03,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_CONS,Adoption of opinions expressed in public consultations,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,37.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_G_DEB,Government takes decisions based on evidence,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_PLEM,Government preparedness to protect lives in large-scale emergency,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.57,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_GHG_R,Country will reduce greenhoushe gas (GhG) emissions in the next ten years,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.43,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_NT_R,Governments can regulate new technologies appropiately,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.48,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_R_CD,Government would refuse a corporation's demand that is not in the public interest,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,53.36,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,TRUST_PVGA,National parliament holding the national government accontable,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.43,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,54.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_PVGA,National parliament holding the national government accontable,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_GHG_R,Country will reduce greenhoushe gas (GhG) emissions in the next ten years,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.46,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_NT_R,Governments can regulate new technologies appropiately,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_G_DEB,Government takes decisions based on evidence,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_R_CD,Government would refuse a corporation's demand that is not in the public interest,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_CONS,Adoption of opinions expressed in public consultations,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,40.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_COMM,Have a voice in community decisions,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,50.5,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_POL,National policy would be changed if majority expressed view against it,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,43.98,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,TRUST_PLEM,Government preparedness to protect lives in large-scale emergency,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.57,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_PLEM,Government preparedness to protect lives in large-scale emergency,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_CONS,Adoption of opinions expressed in public consultations,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,35.6,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_R_CD,Government would refuse a corporation's demand that is not in the public interest,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.35,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_GHG_R,Country will reduce greenhoushe gas (GhG) emissions in the next ten years,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.48,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_NT_R,Governments can regulate new technologies appropiately,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.4,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_G_DEB,Government takes decisions based on evidence,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.37,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_COMM,Have a voice in community decisions,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,34.71,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_PVGA,National parliament holding the national government accontable,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.44,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,40.92,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,TRUST_POL,National policy would be changed if majority expressed view against it,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,42.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,39.8,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,TRUST_POL,National policy would be changed if majority expressed view against it,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,45.61,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,TRUST_PLEM,Government preparedness to protect lives in large-scale emergency,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.43,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_TDG_2025(1.1),"Trust, security and dignity - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,TRUST_GHG_R,Country will reduce greenhoushe gas (GhG) emissions in the next ten years,PT_RESP,Percentage of respondents,_Z,Not applicable,2025,2025,LIK,Likely,TDG,"Trust, security and dignity",2023,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
