,Date,Likert_algorithms:Ik_weet_waar_en_hoe_vaak_een_alg,Likert_algorithms:Ik_kan_herkennen_wanneer_NU_nl_e,Likert_algorithms:Ik_begrijp_waarom_bepaalde_artik,Likert_algorithms:De_selectie_van_nieuwsartikelen_,Likert_algorithms:Ik_denk_dat_het_personalisatie-a,text,text1,Likert_transparentie:Het_is_voor_mij_belangrijk_om_te,Likert_transparentie:Ik_wil_graag_meer_inzicht_krijge,Likert_transparentie:Ik_wil_graag_weten_welke_gegeven,Likert_transparentie:Ik_wil_graag_begrijpen_met_welk_,Likert_transparentie:Ik_vind_dat_NU_nl_duidelijker_zo,Hoe_kun_je_herkennen_of_een_nieu,Likert_controle:Ik_wil_graag_de_mogelijkheid_heb,Likert_controle:Ik_vind_het_belangrijk_dat_ik_op,Likert_controle:Ik_vind_het_belangrijk_om_aan_te,Likert_controle:Ik_vind_het_belangrijk_om_mijn_v,Likert_controle:Ik_vind_het_belangrijk_dat_ik_ka,In_welke_situaties_zou_je_ervoor,Likert_personalisatie_curatie:Ik_vind_dat_algoritmes_mij_helpe,Likert_personalisatie_curatie:Ik_geef_de_voorkeur_aan_aanbevel,Likert_personalisatie_curatie:Ik_denk_dat_een_algoritme_beter_,Likert_personalisatie_curatie:Ik_geloof_dat_aanbevelingen_door,Likert_personalisatie_curatie:Ik_waardeer_dat_algoritmes_mij_m,Likert_curatie_concerns:Ik_ben_bezorgd_dat_algoritmes_er,Likert_curatie_concerns:Ik_vind_het_belangrijk_dat_mense,Likert_curatie_concerns:Ik_vertrouw_aanbevelingen_van_ee,Likert_curatie_concerns:Algoritmes_zijn_te_beperkt_om_te,Hoe_belangrijk_vind_je_personali,Hoe_vaak_klik_je_op_nieuwsartike,Hoe_vaak_blijf_je_ingelogd_op_NU,Hoeveel_tijd_besteed_je_gemiddel,Heb_je_toestemming_gegeven_voor_,Welke_cookies_heb_je_geaccepteer,Wat_is_jouw_leeftijd_,Geef_aan_op_een_schaal_van_1_tot:Ik_ben_bezorgd_dat_algoritmes_er,Geef_aan_op_een_schaal_van_1_tot:Ik_vind_het_belangrijk_dat_mense,Geef_aan_op_een_schaal_van_1_tot:Ik_vertrouw_aanbevelingen_van_ee,Geef_aan_op_een_schaal_van_1_tot:Algoritmes_zijn_te_beperkt_om_te,Geef_aan_op_een_schaal_van_1_tot:Ik_denk_dat_menselijke_redacteur,URL,Location,Total Time,Device type,Browser,System,IP
0,2024-11-07 07:29:13,4,3,5,3,4,Onduidelijke vraag. Een algoritme vergelijkt artikelen waarcik naar kijk met het aanbod,"Zie boven, aanbieden van vervolg artikelen die ik open en welke",3,3,3,3,3,"Kan je niet op dit moment, want als je kijkt naar de categorie 'nieuw nieuws' dan is dit direct van de redactiedactie",4,5,3,3,5,Ik wil niet nieuws missen waaarvan ik niet weet dat het er is. Voorkeur voor nieuws is beperkt van belang.,1,1,1,1,1,,,,,"Niet erg belangrijk, want nieuws is nieuws. Misschien zijn er categorieen die onderbelicht zijn, bv. Klimaat zaken, of overbelicht zoals sport maar in het nieuwe nieuws is dat niet erg.. wel als je gaat terugkijken, dan zijn aanbevelingen van belangrt.",4,Ik_ben_altijd_ingelogd,30_tot_60_minuten,Nee,,64,5,5,4,3,4,,,837s,Mobile Phone,Samsung Browser 26.0.0,Android,
1,2024-11-07 07:27:10,3,4,4,4,3,Bij het tonen van nieuwsberichten.,Ik klik en lees berichten die ik interessant of leuk vind. Soortgelijke berichten worden sneller aan mij getoond.,1,1,1,1,3,Checken wie de redacteur is,2,2,3,2,2,"Als er alleen maar negatieve bedroevende zooi naar voren komt. Dan zou ik het aanpassen. Maar komt niet jaar voren, want dat lees ik niet.",3,4,3,3,3,,,,,"Zolang de voorpagina feitelijk blijft tonen wat het laatste nieuws is, vind ik het redelijk oke. Alleen vind ik het doorklikken en dan bij hele andere (oude) artikelen komen, irritant als ik even het HUIDIGE nieuws van de dag wil checken.",3,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Alleen_noodzakelijke_cookies,40,1,4,3,4,4,,,674s,Mobile Phone,Chrome Mobile 0.0.0,Android,
2,2024-11-07 07:22:15,1,2,3,3,3,Bijvoorbeeld bij het aanbieden van video's,Op basis van eerder bekeken video's wordt bepaald wat je interessant vindt en dese komen bovenaan te staan,5,5,5,5,5,Geen idee,3,5,3,3,5,"Je wilt ook nieuw nieuws, out of the box en niet steeds hetzelfde. Zalando komt ook met hetzelfde type jas als aanbeveling met echt iets voor jou, terwijl ik die net gekocht heb en dus niet nodig heb",3,3,3,4,3,,,,,Je leest telkens hetzelfde type nieuws,3,Ik_blijf_meestal_ingelogd_tijden,15_tot_30_minuten,Ja,Alle_cookies_inclusief_marketing,50,5,5,5,5,4,,,724s,Mobile Phone,Samsung Browser 26.0.0,Android,
3,2024-11-07 07:14:53,2,2,4,2,3,Reclame,Op basis van de nieuwsberichten die ik lees worden mijn interesses bepaald. Daar haalt nu.nl vervolgens op in met reclames en nieuwsberichten,3,4,4,4,4,Geen idee,5,5,4,5,5,Het idee dat alles wat je doet gevolgt wordt vind ik niet prettig,3,3,4,2,4,,,,,Geen idee,1,Ik_log_nooit_in_op_NU_nl,5_tot_15_minuten,Ja,Cookies_voor_personalisatie_van_,47,2,2,2,3,4,,,326s,Mobile Phone,Samsung Browser 26.0.0,Android,
4,2024-11-07 07:13:03,2,3,3,3,3,"In selectie artikelen, welke bovenaan staan  en advertenties",Zie hierboven,4,5,5,4,5,Dat vraag ik mij dus af,5,4,5,4,4,"Even uit mijn bubble, bij specifieke gebeurtenissen",4,3,4,4,4,,,,,Nee,3,Ik_log_alleen_in_wanneer_het_nod,5_tot_15_minuten,Weet_ik_niet,,49,4,5,4,4,5,,,521s,Mobile Phone,Chrome Mobile 0.0.0,Android,
5,2024-11-07 07:12:04,1,1,1,1,1,Geen idee,Op basis van verkeerde aannames worden verkeerde artikelen opgedrongen,5,4,5,5,5,Slaat de plank vaak mis,5,5,5,5,5,Altijd. Bepaal het graag zelf,1,1,1,1,1,,,,,Niet,1,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Alle_cookies_inclusief_marketing,54,5,5,3,5,3,,,302s,Mobile Phone,Samsung Browser 26.0.0,Android,
6,2024-11-07 07:08:03,3,3,4,3,3,Ik ben me er niet echt bewust van. Maar ik compenseer het door meerdere bronnen te raadplegene,Vlgs mij heel simpel. Via je device ben je herkenbaar en op die manier kan een algoritme sturen,4,4,4,4,3,?,3,5,3,5,5,"Ik wil feitelijk zo breed mogelijk worden geïnformeerd. Ik bepaal zelf of ik iets scan, lees of niet leess",3,4,4,3,3,,,,,Kan beperkend zijn. Geen concreet voorberld,3,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Nee,,70,4,3,3,3,3,,,509s,Mobile Phone,Chrome Mobile 0.0.0,Android,
7,2024-11-07 06:59:47,4,4,4,4,4,als ik veel nieuws over een bepaald onderwerp lees.,het algoritme probeert te begrijpen wat mij interesseert zodat ik vaker inlog en meer van jullie advertenties zie,5,4,5,3,5,als het lokaal nieuws betrefr bijv.,5,2,5,4,2,als de overheid dat ook in de gaten gaat houden,4,2,2,4,4,,,,,nee,4,Ik_blijf_meestal_ingelogd_tijden,30_tot_60_minuten,Ja,Alle_cookies_inclusief_marketing,55,2,5,4,4,5,,,385s,Mobile Phone,Firefox 132.0.0,Android,
8,2024-11-07 06:56:24,4,4,4,4,4,Voor de artikelen voor jouw.,"Doordat ze zien welke artikelen je lees, bevelen ze meer artikelen die daarop lijken aan.",1,2,1,1,1,Niet.,5,5,5,5,5,"Bij het lezen van rare artikelen, bijvoorbeeld voor school.",5,5,4,5,5,,,,,"Als ik bijvoorbeeld iets moet zoeken voor school, krijg je daarna meer artikelen, dat is handig.",4,Ik_ben_altijd_ingelogd,5_tot_15_minuten,Weet_ik_niet,,14,1,1,1,1,1,,,275s,Mobile Phone,Chrome Mobile 0.0.0,Android,
9,2024-11-07 06:48:51,1,2,3,4,3,"Nujij, aanbevolen voor jou",Het algoritme kijkt wat door mij wordt gelezen en welke artikelen daarop lijken of welke artikelen mensen die op mij lijken leuk vinden. Het algoritme kijkt welke artikelen ik lees en hoe lang ik daarin geïnteresseeerd ben,4,3,2,1,2,Dat weet ik niet,5,4,5,2,4,Als ik op zoek ben naar wat voor de rest van NL belangrijk is,4,2,2,4,4,,,,,Het scheelt tijd als een vervolg artikel wordt aanbevolen omdat ik het eerste artikel ook heb gelezen,4,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Weet_ik_niet,,29,4,5,3,4,5,,,688s,Mobile Phone,Samsung Browser 26.0.0,Android,
